Hall,Spg_num,Spg_full,Symbol,P,P^-1,Permutation
425,140,140,I 4/m c m,"a,b,c","a,b,c",0
426,141,141:1,I 41/a m d:1,"a,b+1/4,c-1/8","a,b-1/4,c+1/8",0
427,141,141:2,I 41/a m d:2,"a,b,c","a,b,c",0
428,142,142:1,I 41/a c d:1,"a,b+1/4,c-1/8","a,b-1/4,c+1/8",0
429,142,142:2,I 41/a c d:2,"a,b,c","a,b,c",0
430,143,143,P 3,"a,b,c","a,b,c",0
431,144,144,P 31,"a,b,c","a,b,c",0
432,145,145,P 32,"a,b,c","a,b,c",0
433,146,146:H,R 3:H,"a,b,c","a,b,c",0
434,146,146:R,R 3:R,"2/3a+1/3b+1/3c,-1/3a+1/3b+1/3c,-1/3a-2/3b+1/3c","a-b,b-c,a+b+c",0
435,147,147,P -3,"a,b,c","a,b,c",0
436,148,148:H,R -3:H,"a,b,c","a,b,c",0
437,148,148:R,R -3:R,"2/3a+1/3b+1/3c,-1/3a+1/3b+1/3c,-1/3a-2/3b+1/3c","a-b,b-c,a+b+c",0
438,149,149,P 3 1 2,"a,b,c","a,b,c",0
439,150,150,P 3 2 1,"a,b,c","a,b,c",0
440,151,151,P 31 1 2,"a,b,c","a,b,c",0
441,152,152,P 31 2 1,"a,b,c","a,b,c",0
442,153,153,P 32 1 2,"a,b,c","a,b,c",0
443,154,154,P 32 2 1,"a,b,c","a,b,c",0
444,155,155:H,R 32:H,"a,b,c","a,b,c",0
445,155,155:R,R 32:R,"2/3a+1/3b+1/3c,-1/3a+1/3b+1/3c,-1/3a-2/3b+1/3c","a-b,b-c,a+b+c",0
446,156,156,P 3 m 1,"a,b,c","a,b,c",0
447,157,157,P 3 1 m,"a,b,c","a,b,c",0
448,158,158,P 3 c 1,"a,b,c","a,b,c",0
449,159,159,P 3 1 c,"a,b,c","a,b,c",0
450,160,160:H,R 3 m:H,"a,b,c","a,b,c",0
451,160,160:R,R 3 m:R,"2/3a+1/3b+1/3c,-1/3a+1/3b+1/3c,-1/3a-2/3b+1/3c","a-b,b-c,a+b+c",0
452,161,161:H,R 3 c:H,"a,b,c","a,b,c",0
453,161,161:R,R 3 c:R,"2/3a+1/3b+1/3c,-1/3a+1/3b+1/3c,-1/3a-2/3b+1/3c","a-b,b-c,a+b+c",0
454,162,162,P -3 1 m,"a,b,c","a,b,c",0
455,163,163,P -3 1 c,"a,b,c","a,b,c",0
456,164,164,P -3 m 1,"a,b,c","a,b,c",0
457,165,165,P -3 c 1,"a,b,c","a,b,c",0
458,166,166:H,R -3 m:H,"a,b,c","a,b,c",0
459,166,166:R,R -3 m:R,"2/3a+1/3b+1/3c,-1/3a+1/3b+1/3c,-1/3a-2/3b+1/3c","a-b,b-c,a+b+c",0
460,167,167:H,R -3 c:H,"a,b,c","a,b,c",0
461,167,167:R,R -3 c:R,"2/3a+1/3b+1/3c,-1/3a+1/3b+1/3c,-1/3a-2/3b+1/3c","a-b,b-c,a+b+c",0
462,168,168,P 6,"a,b,c","a,b,c",0
463,169,169,P 61,"a,b,c","a,b,c",0
464,170,170,P 65,"a,b,c","a,b,c",0
465,171,171,P 62,"a,b,c","a,b,c",0
466,172,172,P 64,"a,b,c","a,b,c",0
467,173,173,P 63,"a,b,c","a,b,c",0
468,174,174,P -6,"a,b,c","a,b,c",0
469,175,175,P 6/m,"a,b,c","a,b,c",0
470,176,176,P 63/m,"a,b,c","a,b,c",0
471,177,177,P 6 2 2,"a,b,c","a,b,c",0
472,178,178,P 61 2 2,"a,b,c","a,b,c",0
473,179,179,P 65 2 2,"a,b,c","a,b,c",0
474,180,180,P 62 2 2,"a,b,c","a,b,c",0
475,181,181,P 64 2 2,"a,b,c","a,b,c",0
476,182,182,P 63 2 2,"a,b,c","a,b,c",0
477,183,183,P 6 m m,"a,b,c","a,b,c",0
478,184,184,P 6 c c,"a,b,c","a,b,c",0
479,185,185,P 63 c m,"a,b,c","a,b,c",0
480,186,186,P 63 m c,"a,b,c","a,b,c",0
481,187,187,P -6 m 2,"a,b,c","a,b,c",0
482,188,188,P -6 c 2,"a,b,c","a,b,c",0
483,189,189,P -6 2 m,"a,b,c","a,b,c",0
484,190,190,P -6 2 c,"a,b,c","a,b,c",0
485,191,191,P 6/m m m,"a,b,c","a,b,c",0
486,192,192,P 6/m c c,"a,b,c","a,b,c",0
487,193,193,P 63/m c m,"a,b,c","a,b,c",0
488,194,194,P 63/m m c,"a,b,c","a,b,c",0
489,195,195,P 2 3,"a,b,c","a,b,c",0
490,196,196,F 2 3,"a,b,c","a,b,c",0
491,197,197,I 2 3,"a,b,c","a,b,c",0
492,198,198,P 21 3,"a,b,c","a,b,c",0
493,199,199,I 21 3,"a,b,c","a,b,c",0
494,200,200,P m -3,"a,b,c","a,b,c",0
495,201,201:1,P n -3:1,"a-1/4,b-1/4,c-1/4","a+1/4,b+1/4,c+1/4",0
496,201,201:2,P n -3:2,"a,b,c","a,b,c",0
497,202,202,F m -3,"a,b,c","a,b,c",0
498,203,203:1,F d -3:1,"a-1/8,b-1/8,c-1/8","a+1/8,b+1/8,c+1/8",0
499,203,203:2,F d -3:2,"a,b,c","a,b,c",0
500,204,204,I m -3,"a,b,c","a,b,c",0
501,205,205,P a -3,"a,b,c","a,b,c",0
502,206,206,I a -3,"a,b,c","a,b,c",0
503,207,207,P 4 3 2,"a,b,c","a,b,c",0
504,208,208,P 42 3 2,"a,b,c","a,b,c",0
505,209,209,F 4 3 2,"a,b,c","a,b,c",0
506,210,210,F 41 3 2,"a,b,c","a,b,c",0
507,211,211,I 4 3 2,"a,b,c","a,b,c",0
508,212,212,P 43 3 2,"a,b,c","a,b,c",0
509,213,213,P 41 3 2,"a,b,c","a,b,c",0
510,214,214,I 41 3 2,"a,b,c","a,b,c",0
511,215,215,P -4 3 m,"a,b,c","a,b,c",0
512,216,216,F -4 3 m,"a,b,c","a,b,c",0
513,217,217,I -4 3 m,"a,b,c","a,b,c",0
514,218,218,P -4 3 n,"a,b,c","a,b,c",0
515,219,219,F -4 3 c,"a,b,c","a,b,c",0
516,220,220,I -4 3 d,"a,b,c","a,b,c",0
517,221,221,P m -3 m,"a,b,c","a,b,c",0
518,222,222:1,P n -3 n:1,"a-1/4,b-1/4,c-1/4","a+1/4,b+1/4,c+1/4",0
519,222,222:2,P n -3 n:2,"a,b,c","a,b,c",0
520,223,223,P m -3 n,"a,b,c","a,b,c",0
521,224,224:1,P n -3 m:1,"a-1/4,b-1/4,c-1/4","a+1/4,b+1/4,c+1/4",0
522,224,224:2,P n -3 m:2,"a,b,c","a,b,c",0
523,225,225,F m -3 m,"a,b,c","a,b,c",0
524,226,226,F m -3 c,"a,b,c","a,b,c",0
525,227,227:1,F d -3 m:1,"a-1/8,b-1/8,c-1/8","a+1/8,b+1/8,c+1/8",0
526,227,227:2,F d -3 m:2,"a,b,c","a,b,c",0
527,228,228:1,F d -3 c:1,"a-3/8,b-3/8,c-3/8","a+3/8,b+3/8,c+3/8",0
528,228,228:2,F d -3 c:2,"a,b,c","a,b,c",0
529,229,229,I m -3 m,"a,b,c","a,b,c",0
530,230,230,I a -3 d,"a,b,c","a,b,c",0
